x_true 	 x_rec 
2.011186e-04 	 2.011186e-04
2.045150e-04 	 2.045150e-04
2.078167e-04 	 2.078167e-04
2.110177e-04 	 2.110177e-04
2.141117e-04 	 2.141117e-04
2.170923e-04 	 2.170923e-04
2.199532e-04 	 2.199532e-04
2.226879e-04 	 2.226879e-04
2.252897e-04 	 2.252897e-04
2.277520e-04 	 2.277520e-04
2.300681e-04 	 2.300681e-04
2.322311e-04 	 2.322311e-04
2.342340e-04 	 2.342340e-04
2.360699e-04 	 2.360699e-04
2.377316e-04 	 2.377316e-04
2.392120e-04 	 2.392120e-04
2.405037e-04 	 2.405037e-04
2.415994e-04 	 2.415994e-04
2.424916e-04 	 2.424916e-04
2.431728e-04 	 2.431728e-04
2.436353e-04 	 2.436353e-04
2.438714e-04 	 2.438714e-04
2.438734e-04 	 2.438734e-04
2.436333e-04 	 2.436333e-04
2.431432e-04 	 2.431432e-04
2.423949e-04 	 2.423949e-04
2.413803e-04 	 2.413803e-04
2.400912e-04 	 2.400912e-04
2.385193e-04 	 2.385193e-04
2.366561e-04 	 2.366561e-04
2.344931e-04 	 2.344931e-04
2.320218e-04 	 2.320218e-04
2.292334e-04 	 2.292334e-04
2.261192e-04 	 2.261192e-04
2.226703e-04 	 2.226703e-04
2.188778e-04 	 2.188778e-04
2.147327e-04 	 2.147327e-04
2.102258e-04 	 2.102258e-04
2.053480e-04 	 2.053480e-04
2.000900e-04 	 2.000900e-04
1.944423e-04 	 1.944423e-04
1.883956e-04 	 1.883956e-04
1.819402e-04 	 1.819402e-04
1.750665e-04 	 1.750665e-04
1.677649e-04 	 1.677649e-04
1.600254e-04 	 1.600254e-04
1.518382e-04 	 1.518382e-04
1.431934e-04 	 1.431934e-04
1.340807e-04 	 1.340807e-04
1.244901e-04 	 1.244901e-04
1.144114e-04 	 1.144114e-04
1.038341e-04 	 1.038341e-04
9.274788e-05 	 9.274788e-05
8.114220e-05 	 8.114220e-05
6.900647e-05 	 6.900647e-05
5.633000e-05 	 5.633000e-05
